id,display_name,group,serving_label,serving_g,energy_kcal,protein_g,fat_g,carbohydrate_g,fiber_g,salt_equivalent_g,iron_mg,calcium_mg,caffeine_mg,allergen_tags,role_tags,usable_problem_types,nutrition_value_status,notes
food_rice_small,ごはん小盛り,carb_main,100g,100,156,2.5,0.3,37.1,1.5,0.0,0.1,3,0,,carb_main;moderate_carb;low_fat;easy_to_eat;light_meal,F06;F08,final_verified,軽めの炭水化物。単体ではたんぱく質不足。
food_rice_regular,ごはん普通盛り,carb_main,150g,150,234,3.8,0.5,55.7,2.3,0.0,0.2,5,0,,carb_main;high_carb;low_fat,F02;F09,final_verified,炭水化物補給の基本。単体ではたんぱく質不足。
food_onigiri_salt,塩おにぎり,carb_main,1個 110g,110,185,3.0,0.4,42.0,1.6,0.7,0.2,5,0,,carb_main;moderate_carb;easy_to_eat;low_fat;moderate_sodium,F02;F09,final_verified,汗をかいた後の軽食にも使える。単体ではたんぱく質不足。
food_onigiri_salmon,鮭おにぎり,carb_main,1個 115g,115,195,5.0,1.0,41.0,1.5,0.8,0.3,8,0,contains_fish,carb_main;fish_based;moderate_carb;low_fat;easy_to_eat,F02;F06,final_verified,炭水化物に少量の魚たんぱく質を足す。筋肥大ではたんぱく質不足。
food_onigiri_tuna_mayo,ツナマヨおにぎり,carb_main,1個 115g,115,235,5.5,6.5,38.0,1.3,0.9,0.3,8,0,contains_fish;contains_egg,carb_main;fish_based;moderate_carb;moderate_fat;easy_to_eat,F02,final_verified,脂質が上がりやすい。胃もたれ問題では惜しい候補。
food_udon_plain,かけうどん,carb_main,1杯 350g,350,285,8.0,1.0,58.0,2.5,3.0,0.4,20,0,contains_wheat,carb_main;soup;hydration_support;moderate_carb;low_fat;easy_to_eat;moderate_sodium,F06;F09,final_verified,水分と炭水化物を取りやすい。塩分が多くなりやすい。
food_soba_plain,そば,carb_main,1杯 300g,300,310,12.0,2.0,60.0,4.0,2.5,1.2,25,0,contains_buckwheat;contains_wheat,carb_main;moderate_carb;moderate_protein;low_fat;easy_to_eat,F02;F06,final_verified,うどんよりたんぱく質を見込めるが、そば・小麦の除外条件に注意。
food_pasta_tomato,トマトパスタ,carb_main,1皿 300g,300,480,14.0,12.0,78.0,5.0,2.0,1.6,35,0,contains_wheat,carb_main;high_carb;moderate_energy;moderate_fat,F02,final_verified,炭水化物とエネルギーを取りやすい。たんぱく質は不足しやすい。
food_whole_wheat_bread,全粒粉パン,carb_main,2枚 80g,80,200,7.0,3.0,38.0,5.0,1.0,1.2,30,0,contains_wheat,carb_main;moderate_carb;moderate_fiber;easy_to_eat,F03,final_verified,食物繊維が多め。単体ではたんぱく質不足。
food_white_bread_toast,食パン,carb_main,6枚切り1枚 60g,60,155,5.5,2.5,28.0,1.5,0.8,0.4,20,0,contains_wheat;contains_milk,carb_main;moderate_carb;low_fat;easy_to_eat,F06,final_verified,食べやすい炭水化物。製品に乳を含む場合がある。
food_oatmeal,オートミール,carb_main,40g,40,150,5.5,2.3,27.5,3.8,0.0,1.6,20,0,,carb_main;moderate_carb;moderate_fiber;satiety_support,F03,final_verified,減量中の満腹感には使える。胃もたれ時は食物繊維が重いことがある。
